ID	premise1	premise2	premise3	premise4	hypothesis	entailment_judgments	neutral_judgments	contradiction_judgments	gold_label
1001	4615316828.jpg#1/Very young girl holding a spoon in a restaurant setting.	4615316828.jpg#2/A child holding a white, plastic spoon.	4615316828.jpg#3/A child smiling as he holds his spoon.	4615316828.jpg#4/A toddler plays with his food.	Toddler sitting.	2	0	3	entailment
1002	3410629379.jpg#0/Man driving a moped with a side care with a Jeepney in the background.	3410629379.jpg#1/A young man drives a motorcycle taxi through the streets.	3410629379.jpg#3/A road scene with a van and a man driving.	3410629379.jpg#4/A bike taxi rides down the road.	A man driving a wheeled motorbike.	5	0	0	entailment
1003	4357165525.jpg#0/An old man and a child walk together along a pathway near a building.	4357165525.jpg#2/A man with a cane and a boy are walking on a sidewalk.	4357165525.jpg#3/Grandfather and grandchild walking down a path.	4357165525.jpg#4/Two males walking away from a bench.	A couple having a good time.	2	1	2	contradiction
1004	3420309744.jpg#0/Several individuals are watching a man in a red sweater play a game of golf.	3420309744.jpg#2/The crowd looks on as a man with a red argyle sweater plays golf.	3420309744.jpg#3/Spectators are watching a pro golfing tournament.	3420309744.jpg#4/A man is swinging his club in a game of golf.	A golfer takes a swing.	5	0	0	entailment
1005	471453231.jpg#0/Two women are looking very confused trying to put together an item from the box.	471453231.jpg#1/Two ladies are sitting on a back deck with a dog in between each other.	471453231.jpg#3/Two women unpacking something from a box.	471453231.jpg#4/Two women sitting on a deck.	Woman opening a package.	0	1	4	contradiction
1006	38319365.jpg#1/A man helping a woman fix her fishing pole out by what appears to be a lake with a little girl playing next to the small foldable chairs.	38319365.jpg#2/A man sits at the shore and attends to a fishing rod while a woman and young girl stand next to him.	38319365.jpg#3/A man helps a woman with her fishing pole next to a lake.	38319365.jpg#4/A father helps to ready the line for fishing.	A man baits a hook.	4	1	0	entailment
1007	3517056462.jpg#0/A girl wearing the number one LaFayette softball uniform is about to throw the ball.	3517056462.jpg#1/A girl in a baseball uniform getting ready to throw the ball at a game.	3517056462.jpg#2/The girl is in a red jersey and pitching a softball at a game.	3517056462.jpg#3/A female softball player pitches the ball.	Pitcher pitching.	5	0	0	entailment
1008	2868324804.jpg#0/Three girls run on a grassy field with a building in the background.	2868324804.jpg#1/Three girls are running on a field in front of a fence.	2868324804.jpg#3/Three little girls run on a soccer field.	2868324804.jpg#4/Three girls run in a field outside.	Children running across a field.	4	0	1	entailment
1009	503872649.jpg#0/Adult woman wearing a white wedding dress is standing close to a woman wearing a dark purple suit coat, white blouse and a dark dress talking on her cellphone and touching a basket holding a bouquet of flowers.	503872649.jpg#1/A woman with a basket of flowers talks on the phone next to a woman in a wedding dress.	503872649.jpg#2/Woman in Wedding dress with a friend and basket of flowers on a street corner.	503872649.jpg#4/A large and unhappy woman is in a wedding dress in town.	A bride stands.	5	0	0	entailment
1010	2774554340.jpg#0/Two young men, one wearing a blue shirt, one wearing a white shirt, are sitting in a vehicle and laughing.	2774554340.jpg#1/Two men sit inside a car, facing each other and smiling.	2774554340.jpg#2/Two men in a vehicle smiling at one another.	2774554340.jpg#4/Two guys smiling as they sit in a vehicle.	Men talking.	4	1	0	entailment
1011	2609900643.jpg#0/A little girl with a yellow shirt swings while a little girl in green watches.	2609900643.jpg#1/A young girl wearing a yellow shirt swings on a tree rope.	2609900643.jpg#3/The small girl is swinging on the rope	2609900643.jpg#4/A girl swings on a rope swing.	Another child watches.	4	1	0	entailment
1012	158093226.jpg#0/A balding man in a dark suit and maroon tie, with a mustache and beard, plays bagpipes, as a young blond woman standing next to him in a light blue crop top and skirt listens and sticks her tongue out.	158093226.jpg#1/A guy is playing the bagpipes while standing next to a woman in a light blue outfit with her belly button showing.	158093226.jpg#2/A man in a suit is playing bagpipes next to a young blond woman who has her abdomen exposed.	158093226.jpg#3/A guy in a suit playing bagpipes next to a girl wearing teal clothing.	A well dressed man playing instruments.	5	0	0	entailment
1013	3833511502.jpg#1/The bank teller is waiting for a customer.	3833511502.jpg#2/A man is sitting at a desk behind glass.	3833511502.jpg#3/A bank teller standing at a counter.	3833511502.jpg#4/Teller working at a bank.	A man holds a pencil.	0	4	1	neutral
1014	7663002978.jpg#0/A man wearing a London 2012 jersey is running in front of a brick building and past a crowd carrying a torch.	7663002978.jpg#1/Torch-bearing runner, about to be photographed by onlooker, enjoys the smiles and shouts of the crowd.	7663002978.jpg#3/A man carrying an Olympic torch with a brick building in the background.	7663002978.jpg#4/An Olympic Marathon Event with the locals.	A crowd waving the flag.	1	2	2	neutral
1015	428980399.jpg#0/A black-haired female guitarist and a male drummer are playing in a large tent.	428980399.jpg#1/A drummer is playing in front of a sign that says SXSWO in a tent.	428980399.jpg#3/Band playing with a female lead singer.	428980399.jpg#4/A man in a green shirt playing drums.	A musician plays music.	5	0	0	entailment
1016	3206326389.jpg#0/A group of five women with scarf head coverings look off the page, while two have their mouths open as if yelling something.	3206326389.jpg#1/Women in headwraps are gathered together, speaking emotionally.	3206326389.jpg#2/Five women wearing scarves on their heads are talking.	3206326389.jpg#4/A group of women wearing headscarves are in a crowd.	Women standing.	3	2	0	neutral
1017	2322820623.jpg#0/A group of kids around college age, sitting around in a house with a board game on the wooden coffee table.	2322820623.jpg#1/A group of six people relaxing in the living room and playing a board game.	2322820623.jpg#2/Six people, four male and two female, hanging out in a living room.	2322820623.jpg#4/A group of people hanging out and playing a board game.	Family having fun.	3	1	1	neutral
1018	4537666932.jpg#1/A woman with a black hoodie and purple flip-flops is sketching on a big pad of paper.	4537666932.jpg#2/A woman sitting on the cement is looking off in the distance.	4537666932.jpg#3/A young woman is sitting on the sidewalk sketching a building	4537666932.jpg#4/A young blond woman sits outside and sketches.	A man sitting.	2	0	3	contradiction
1019	7725130978.jpg#0/These women are playing a beach volleyball game as part of the Summer Olympics in 2012 which took place in London.	7725130978.jpg#1/A member of the women's Austrian beach volleyball team attempts a spike against China at the 2012 Olympics.	7725130978.jpg#2/Three women in sports bikinis are playing volleyball on a sandy beach.	7725130978.jpg#3/This is a group of women playing volleyball in sports bikinis.	A volleyball player spikes the ball.	3	2	0	neutral
1020	4510789820.jpg#0/A view of a street with puddles, people walking, and lined with buildings that are mostly three-stories tall.	4510789820.jpg#1/Many people are walking through the city during the day.	4510789820.jpg#3/People are walking the streets on a sunny day.	4510789820.jpg#4/A street lined with three-story buildings.	A man walks.	3	1	1	neutral
1021	2575358644.jpg#0/A boy in a blue uniform kicks a ball while his team cheers him on.	2575358644.jpg#1/A young boy in blue, kicking a ball while other boys watch.	2575358644.jpg#2/Kid in blue kicking penalty kick towards kid in dark blue.	2575358644.jpg#4/Small boys in sports jerseys play with a yellow ball.	A group playing soccer.	4	1	0	entailment
1022	4548479186.jpg#0/A woman in white with a big white flower in her hair poses on a city street in front of a wall and a tree.	4548479186.jpg#1/A young lady wearing a white dress with a flower in her hair smiling at the camera.	4548479186.jpg#3/Lady in a white dress walking in the street.	4548479186.jpg#4/Woman poses playfully in white dress.	A woman leaning on a bike.	0	2	3	contradiction
1023	469617651.jpg#0/A line of white chairs folded and a few indescript people sitting in the background.	469617651.jpg#1/Photo of an inside of a place with chairs and people sitting in them.	469617651.jpg#3/Some people are sitting in seats under a white framed glass canopy.	469617651.jpg#4/People wait in chairs, one person has their shoe off.	A couple sits.	3	2	0	neutral
1024	4043418437.jpg#0/A smiling man in a blue jacket and black vest stands in front of a crowd of marchers near a red tent with green trees in the background.	4043418437.jpg#2/A man wearing a beret walks down the street and smiles.	4043418437.jpg#3/A group of people are walking down a busy street.	4043418437.jpg#4/Some policemen escort demonstrating citizens.	A soldier walks.	1	2	2	neutral
1025	2658009523.jpg#1/A brown dog and a red dog frolicking on the waters edge on the beach.	2658009523.jpg#2/Two brown dogs are running on the beach beside the ocean.	2658009523.jpg#3/Two brown dogs play on the sand by the water.	2658009523.jpg#4/Two dogs running down a beach.	Two dogs playfully fight.	2	2	1	neutral
1026	3294202771.jpg#0/A guy in boarding shorts is trying to do a flip or handstand on the beach.	3294202771.jpg#1/A man is doing a back flip on a beach in front of the ocean.	3294202771.jpg#2/A shirtless man is doing a back flip on a beach.	3294202771.jpg#4/A man turning a somersault at the beach.	A man doing a move.	5	0	0	entailment
1027	2497343616.jpg#1/A crowd forms on a busy street to watch a street performer.	2497343616.jpg#2/A group of people watching a performer on a sidewalk.	2497343616.jpg#3/The group of people are all covered by umbrellas.	2497343616.jpg#4/A group of people stand under umbrellas.	A crowd gathered.	5	0	0	entailment
1028	278002875.jpg#0/Four young people are walking through past trees in a busy park.	278002875.jpg#1/In the Fall, college students return to their schools.	278002875.jpg#3/Four people stand in front of trees.	278002875.jpg#4/Four young adults gathered outdoors	Girls and two boys walking.	0	4	1	neutral
1029	4914906265.jpg#1/A woman in a black leather mini-dress and boots is shopping from a street vendor.	4914906265.jpg#2/A woman in a black tank top, skirt and boots is looking at jewelry for sale.	4914906265.jpg#3/Young woman dressed in black looks over articles from a street vendor.	4914906265.jpg#4/A woman in a black leather skirt perusing at the market.	A woman standing in front of a table.	2	2	1	entailment
1030	3019917636.jpg#0/A woman is riding a blue bicycle in a park.	3019917636.jpg#2/Woman on blue bicycle wearing helmet	3019917636.jpg#3/A woman in a race turning a corner.	3019917636.jpg#4/Cyclist speeding down the trail.	Rider riding on a course.	4	1	0	entailment
1031	1454841725.jpg#1/A group of young girls smiling with a large crowd behind them	1454841725.jpg#2/Four young girls pose for a picture at school	1454841725.jpg#3/Four young girls posing for the camera.	1454841725.jpg#4/Four girls pose in front of a crowd.	Children standing in a group.	4	0	1	entailment
1032	1158255688.jpg#1/A female swimmer wearing a swim cap and nose clips moves slowly through the water is seen from below.	1158255688.jpg#2/A female swimmer swimming underwater with a nose clip and cap on her head.	1158255688.jpg#3/A female swimmer is submerged horizontally in a swimming pool.	1158255688.jpg#4/A female swimmer in a blue cap swimming underwater.	A woman swims.	5	0	0	entailment
1033	6971865130.jpg#0/Young male bicyclist wearing a professional orange, blue and white riders outfit looks and smiles at the spectators.	6971865130.jpg#1/The man, wearing sunglasses and a bicycle helmet, looks over his shoulder and smiles.	6971865130.jpg#2/A guy in protective gear is looking and smiling at someone.	6971865130.jpg#3/A man in a helmet and uniform is smiling.	A cyclist smiling.	4	0	1	entailment
1034	4458801621.jpg#0/Two men and one woman with blond hair walk through a gate with barbed wire on top.	4458801621.jpg#1/Three workers are walking out of their secured building at the end of the day.	4458801621.jpg#3/Three people walking through a gate in a parking complex.	4458801621.jpg#4/Three people are walking through a gate.	Two men carrying briefcases.	1	2	2	neutral
1035	523692399.jpg#1/A skateboarder wearing a gray helmet is riding his board along a concrete curve.	523692399.jpg#2/A view from the top of a skateboarder at the top of a ramp.	523692399.jpg#3/A man wears a black helmet and is on a black skateboard.	523692399.jpg#4/A shirtless skateboarder.	A child performs skateboarding tricks.	1	0	4	contradiction
1036	4339049338.jpg#1/Six teens have some drinks in front of a memorial.	4339049338.jpg#2/Six young boys sit on a wall in a cemetery.	4339049338.jpg#3/Children sit on a wall inside a cemetery.	4339049338.jpg#4/Kids eating lunch in a cemetery.	A group of children sitting on a ledge.	2	2	1	entailment
1037	4574110851.jpg#0/A man in orange and a man in a light blue top are walking down the street towards something.	4574110851.jpg#1/A man in a blue shirt follows another man carrying a blue and black bag.	4574110851.jpg#3/Two men walking in summer attire.	4574110851.jpg#4/Two men walking down the street.	Men turn the corner.	0	2	3	contradiction
1038	3423225860.jpg#1/A female tennis player wearing orange in the middle of a tennis match.	3423225860.jpg#2/A tennis player wearing an orange tennis outfit on the court.	3423225860.jpg#3/Woman playing tennis in a bright orange outfit.	3423225860.jpg#4/A woman playing tennis, swinging her racket.	A woman leaning on a wall.	0	1	4	contradiction
1039	372160542.jpg#1/A man in a blue shirt playing with a young boy in a red shirt on the ground in a bedroom.	372160542.jpg#2/A dad and his son are playing with some Legos in the child's bedroom.	372160542.jpg#3/A man and bot playing on the floor with bunk beds in the background.	372160542.jpg#4/Father and son are in the child's room, putting together a toy.	A man sitting.	1	3	1	neutral
1040	320246929.jpg#0/A woman in a Nike hat and black apron scoops something out of a pot.	320246929.jpg#1/Woman frying up some goods at a festival.	320246929.jpg#2/A woman with a Nike hat on is cooking.	320246929.jpg#3/A woman with a Nike hat hard at work.	A woman cooks over a fire.	1	3	1	neutral
1041	5150742824.jpg#0/A young girl in cute boots is showing some papers to a man sitting in a theater seat	5150742824.jpg#1/A young woman looks at a paper with a man sitting down in a brown shirt.	5150742824.jpg#3/Two people in a lecture hall are holding a plastic sheet.	5150742824.jpg#4/This is a young girl handing out papers.	A child standing on stairs.	1	1	3	neutral
1042	3041384194.jpg#0/A girl with a short haircut and eyebrow piercing bites her finger and crosses her arms.	3041384194.jpg#2/A woman with red hair holds her hand to her mouth and looks pensive.	3041384194.jpg#3/A woman wearing a blue face is resting her finger beside her nose.	3041384194.jpg#4/A very pale redheaded teen has her hand to her face thinking.	Woman stands.	0	5	0	neutral
1043	244760301.jpg#0/A group of people in matching outfits hiking up a trail with one person lagging behind.	244760301.jpg#1/A group of men wearing similar clothing backpacks through the countryside.	244760301.jpg#2/A group of scouts are hiking through the grass.	244760301.jpg#4/People walking	Several hikers walking.	4	0	1	entailment
1044	5823145889.jpg#1/A woman and a male child are engaged in a balloon fight as a man watches.	5823145889.jpg#2/A barefoot boy and a woman are playing with balloons while a man watches.	5823145889.jpg#3/Two adults and a child are in an attic playing with balloons.	5823145889.jpg#4/A small child and an adult play with small party balloons.	A child having fun.	4	0	1	entailment
